Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"RV1","100K Lin","Potentiometer_Alpha_RD901F-40-00D_Single_Vertical",-14.700000,-2.265000,-90.000000,bottom
"RV2","1M lin","Potentiometer_Alpha_RD901F-40-00D_Single_Vertical",2.500000,-2.265000,-90.000000,bottom
"RV3","100K Log","Potentiometer_Alpha_RD901F-40-00D_Single_Vertical",19.700000,-2.265000,-90.000000,bottom
"RV4","10k Lin","Potentiometer_Alpha_RD901F-40-00D_Single_Vertical",-19.700000,-42.905000,90.000000,bottom
"RV5","25k Lin","Potentiometer_Alpha_RD901F-40-00D_Single_Vertical",-2.500000,-42.905000,90.000000,bottom
"RV6","25k Lin","Potentiometer_Alpha_RD901F-40-00D_Single_Vertical",14.700000,-42.905000,90.000000,bottom
